x,y
COMPUTACIÓN INFORMÁTICA BÁSICA,38
COFECCIÓN TEXTIL,23
ASISTENTE EN COCINA (GASTRONOMIA),22
MECÁNICA METALES,22
CONFECCIÓN TEXTIL,20
MECÁNICA AUTOMOTRIZ,21
OPERACIÓN DE COMPUTADORAS,21
CONFECCIÓN TEXTIL,9
ACTIVIDADES AGRARIAS,32
PELUQUERÍA,5
CONFECCIÓN TEXTIL,5
AGRICULTURA DE LA SIERRA,2006
PELUQUERÍA BÁSICA,15
CONFECCIÓN TEXTIL,17
CONSTRUCCIÓN METÁLICAS,30
CARPINTERÍA,22
OPERACIÓN DE COMPUTADORAS,32
COMPUTACIÓN E INFORMÁTICA,30
COSMETOLOGÍA,15
COSMETOLOGÍA - PELUQUERÍA,10
CONFECCIÓN TEXTIL - TEJIDO A MANO,9
INSTALACIONES ELÉCTRICAS Y ELECTRÓNICAS,2009
PELUQUERÍA BÁSICA,15
OPERACIÓN DE COMPUTADORAS,25
INDUSTRIAS LÁCTEAS,17
CORTE Y CONFECCIÓN,14
COMPUTACIÓN E INFORMÁTICA,31
COSMETOLOGÍA,12
ASISTENCIA EN PANADERÍA Y PASTELERÍA,40
ARTESANÍA Y MANUALIDADES,20
MANTENIMIENTO DE CASAS Y EDIFICIOS,22
TEXTIL Y CONFECCIONES,21
ACTIVIDAD AGRARIA,11
COMPUTACIÓN BÁSICA,56
ARTESANÍA EN TALLADO DE PIEDRA DE HUAMANGA,45
CONFECCIÓN TEXTIL,13
ARTESANÍA EN TALLADO DE PIEDRA Y METALES,11
CONFECCIÓN TEXTIL,10
PELUQUERÍA BÁSICA,12
CONFECCIÓN TEXTIL,20
COMPUTACIÓN E INFORMÁTICA,24
HOSTELERÍA Y COCINA,22
CONFECCIÓN TEXTIL,22
PELUQUERÍA BÁSICA,27
CARPINTERÍA,24
CONFECCIÓN TEXTIL,18
CONFECCIÓN TEXTIL,20
ARTESANÍA Y MANUALIDADES,0
COCINA Y REPOSTERÍA,0
TEXTIL Y CONFECCIONES,12
COSMETOLOGÍA,0
CONFECCIÓN TEXTIL,17
ARTESANÍA Y MANUALIDADES,0
HOSTELERÍA Y TURISMO,0
COMPUTACIÓN,12
AGROPECUARIA,18
CARPINTERÍA,15
CONFECCIÓN TEXTIL,31
TEJIDO,29
COMPUTACIÓN E INFORMÁTICA,11
COMPUTACIÓN E INFORMÁTICA,12
CONFECCIÓN TEXTIL,10
MANUALIDADES Y ARTESANÍAS,15
ELECTRICIDAD Y ELECTRÓNICA,12
MECÁNICA AUTOMOTRIZ,36
MECÁNICA DE PRODUCCIÓN,10
ELECTRÓNICA,25
OPERACIÓN DE COMPUTADORAS,132
CONFECCIÓN INDUSTRIAL,68
CICLO AUXILIAR TÉCNICO: CONFECCIÓN TEXTIL,24
CICLO AUXILIAR TÉCNICO: MECÁNICA DE MOTOS,39
CICLO AUXILIAR TÉCNICO: COCINA,25
CICLO AUXILIAR TÉCNICO: CARPINTERÍA,26
CICLO AUXILIAR TÉCNICO: PELUQUERÍA,41
CONFECCIÓN TEXTIL,16
CONFECCIÓN TEXTIL,31
CARPINTERÍA Y EBANISTERÍA,17
TEJIDO A TELAR,29
MÚSICA,15
CONFECCIÓN TEXTIL,15
CONFECCIÓN TEXTIL,32
COMPUTACIÓN,30
CONFECCIÓN TEXTIL,16
PRODUCCIÓN AGROPECUARIA,158
ENFERMERÍA TÉCNICA,109
CONSTRUCCIÓN CIVIL,91
PRODUCCIÓN AGROPECUARIA,66
ENFERMERÍA TÉCNICA,98
MECÁNICA DE MOTOS Y  VEHÍCULOS A FINES,34
ASISTENTE DE PASTELERÍA Y PANADERÍA,33
CONFECCIÓN INDUSTRIAL,57
OPERACIÓN DE COMPUTADORAS,103
PELUQUERÍA BÁSICA,15
CONFECCIÓN TEXTIL,14
MECÁNICA DE MOTORES MENORES,14
COMPUTACIÓN E INFORMÁTICA,83
CONFECCIÓN TEXTIL,44
BORDADOS COMPUTARIZADOS Y MANUALES,10
CONFECCIÓN TEXTIL,14
MANTENIMIENTO DE CASAS Y EDIFICIOS,11
HOSTELERÍA Y TURISMO,31
CONFECCIÓN TEXTIL,10
CONFECCIÓN TEXTIL,41
COCINA Y REPOSTERÍA,10
CARPINTERÍA,12
AGRICULTURA DE SIERRA,5
