cod_mod,region,nombre,tipo,ruralidad,otra_priorizacion
1353796,Ayacucho,SAN PEDRO DE PALCO,CETPRO,Rural 1,Ninguna
1362573,Apurimac,WILFREDO BARZOLA PALOMINO,CETPRO,Rural 1,VRAEM
1365774,Ica,JUAN PABLO FUENTES HUAMAN,CETPRO,Rural 1,Ninguna
1406487,Huancavelica,34033,CETPRO,Rural 1,Ninguna
1459163,La Libertad,PROGRESO COLON,CETPRO,Rural 2,Ninguna
1523471,Lima Provincia,SAN PEDRO DE CACRA,CETPRO,Rural 1,Ninguna
1576560,Puno,INKATEC,CETPRO,Rural 2,FRONTERA
1577147,Puno,KELLUYO,CETPRO,Rural 3,FRONTERA
1632959,Huancavelica,34041,CETPRO,Rural 1,VRAEM
1632975,Huancavelica,34043,CETPRO,Rural 2,VRAEM
1653864,Puno,EL ALBA,CETPRO,Rural 3,Ninguna
1686765,Apurimac,CETPRO MUÑAPUCRO,CETPRO,Rural 2,Ninguna
1727692,Apurimac,CETPRO OSCCOLLO,CETPRO,Rural 1,Ninguna
1727700,Apurimac,VICTOR RAUL HAYA DE LA TORRE,CETPRO,Rural 2,VRAEM
1739853,Huancavelica,34054 DAVID MIGUEL CASIMIRO RIMARI,CETPRO,Rural 2,VRAEM
1754761,Moquegua,SAN LORENZO,CETPRO,Rural 1,Ninguna
1755917,Ayacucho,JUAN GASTELU,CETPRO,No rural,VRAEM
1777978,Apurimac,VIRGEN DE COCHARCAS,CETPRO,Rural 2,Ninguna
1777986,Apurimac,RIKCHARIY,CETPRO,Rural 2,Ninguna
